상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율
MA010120220809881804,담미온 안국점,한식,4.4,-0.55,36.0,1,0,서울특별시 종로구 북촌로 1,가회동,37.577034,126.985798,96.0
MA010120220801148870,쏘리 에스프레소바 창덕궁점,카페,4.0,-0.32,20.0,1,48,서울특별시 종로구 계동길 63,가회동,37.580173,126.98666,100.0
MA010120220800036215,이밥,한식,1.8,-0.61,0.0,23,387,서울특별시 종로구 창덕궁1길 29,가회동,37.579276,126.98761,100.0
MA010120220814255473,3안,카페,4.0,-0.8,0.0,3,0,서울특별시 종로구 북촌로 137-7,삼청동,37.586963,126.983002,100.0
MA010120220810193035,백년토종삼계탕,한식,4.4,-0.47,0.0,5,135,서울특별시 종로구 북촌로 41,가회동,37.580604,126.984713,94.1
MA010120220804370322,삼지,한식,4.0,-0.51,29.41,2,0,서울특별시 종로구 북촌로2길 5-7,가회동,37.578308,126.986019,100.0
MA010120220813297618,계동 이잌,서양식,3.6,0.0,5.88,5,611,서울특별시 종로구 북촌로4길 28,가회동,37.579255,126.986636,100.0
23515411,스타벅스북촌로점,카페,4.0,0.0,0.0,1,0,서울특별시 종로구 북촌로4길 23,가회동,37.57947,126.98648,0.0
MA010120220803096239,북촌해물,한식,3.5,2.0,83.33,6,0,서울특별시 종로구 북촌로 25,가회동,37.579081,126.984841,100.0
17470404,공간,주점,5.0,0.0,0.0,4,0,서울특별시 종로구 율곡로3길 66-4,삼청동,37.578571,126.982401,0.0
MA010120220800034358,지유가오카핫초메 삼청점,카페,3.8,0.04,7.41,6,227,서울특별시 종로구 윤보선길 46,삼청동,37.578105,126.983687,92.6
MA010120220800001519,서울풍경,한식,4.4,-0.29,10.0,20,0,서울특별시 종로구 율곡로3길 82-8,삼청동,37.579183,126.982605,100.0
MA010120220810334897,북촌연잎밥,한식,5.0,-0.5,10.0,2,0,서울특별시 종로구 율곡로5길 12,삼청동,37.577118,126.98513,100.0
MA010120220801838345,아이사구아,카페,3.7,-0.31,5.41,26,33,서울특별시 종로구 북촌로 56,가회동,37.581711,126.985317,97.3
MA010120220809847761,브루다 안국,카페,4.0,-0.49,34.15,2,0,서울특별시 종로구 계동길 11,가회동,37.577844,126.986645,87.8
MA010120220810377480,진작카키,일식,4.1,0.7,3.89,4,80,서울특별시 종로구 창덕궁1길 38,가회동,37.579492,126.98712,96.7
MA010120220800029223,콩지팥지,서양식,2.0,0.0,0.0,29,494,서울특별시 종로구 북촌로 21-15,가회동,37.578842,126.984382,0.0
MA010120220809751258,밀과보리,한식,2.2,-0.36,20.0,4,127,서울특별시 종로구 창덕궁1길 32,가회동,37.579396,126.987463,97.1
MA010120220810014678,이채 카페,카페,2.0,-0.4,3.33,6,57,서울특별시 종로구 북촌로 20-21,가회동,37.578671,126.985897,100.0
MA010120220804438921,런던베이글뮤지엄,카페,4.1,1.75,0.0,41,1099,서울특별시 종로구 북촌로4길 20,가회동,37.579168,126.986201,95.5
MA010120220800005888,천하보쌈,한식,4.4,-0.33,0.0,53,0,서울특별시 종로구 창덕궁1길 8,가회동,37.579464,126.988837,100.0
MA010120220805435729,몽중헌 안국점,중식,4.0,0.19,10.0,118,1905,서울특별시 종로구 북촌로 31-22,삼청동,37.579602,126.983833,98.0
MA010120220809757907,유즈라멘안국점,일식,4.4,-0.5,0.0,26,917,서울특별시 종로구 북촌로2길 14,가회동,37.577812,126.98651,66.7
MA010120220811926927,연남토마 북촌점,서양식,4.2,-0.24,10.81,17,458,서울특별시 종로구 북촌로5길 39,삼청동,37.57933,126.982698,90.5
MA010120220800065181,우드앤브릭,카페,3.8,-0.33,12.05,70,552,서울특별시 종로구 북촌로5길 14,가회동,37.579519,126.984063,92.8
MA010120220813568889,티테라피,카페,4.2,-0.1,11.11,42,226,서울특별시 종로구 윤보선길 74,삼청동,37.579162,126.983549,96.3
MA010120220810354223,도트블랭킷 안국점,카페,4.3,-0.07,9.88,19,1649,서울특별시 종로구 윤보선길 22,삼청동,37.577026,126.984097,96.3
MA010120220800074991,대장장이화덕피자,패스트푸드,3.8,-0.34,0.0,116,2602,서울특별시 종로구 북촌로 42-4,가회동,37.580562,126.985347,94.6
MA010120220804316138,커피방앗간,카페,3.9,9.0,0.0,180,1262,서울특별시 종로구 북촌로5가길 8-11,삼청동,37.580313,126.982471,70.0
MA010120220810415045,리틀버틀러,카페,4.0,-0.34,2.86,10,471,서울특별시 종로구 북촌로 8,가회동,37.577592,126.985954,97.1
MA010120220800034932,조선김밥,분식,3.4,-0.54,15.0,10,0,서울특별시 종로구 율곡로3길 68,삼청동,37.578623,126.982202,100.0
MA010120220808443747,화양연화,동남아시아,3.8,-0.5,7.41,168,3035,서울특별시 종로구 계동길 73-1,가회동,37.580564,126.986691,96.3
MA010120220805428511,TXT Coffee,카페,4.7,0.0,37.5,16,0,서울특별시 종로구 창덕궁길 121,가회동,37.582861,126.989032,100.0
MA010120220809878317,이도곰탕계동직영점,한식,4.0,0.0,0.0,4,0,서울특별시 종로구 계동길 33-8,가회동,37.578906,126.986295,0.0
MA010120220809241081,헤비스테이크 안국역점,서양식,3.8,-0.37,13.79,5,57,서울특별시 종로구 율곡로 67,가회동,37.577326,126.986608,96.6
MA010120220805494648,mishmash,한식,3.9,-0.65,0.0,5,1340,서울특별시 종로구 창덕궁길 47,가회동,37.579663,126.989147,100.0
MA010120220803106174,배스킨라빈스삼청마당점,카페,2.0,0.0,0.0,4,12,서울특별시 종로구 율곡로3길 74-1,삼청동,37.579012,126.982257,100.0
MA010120220812047933,미술관옆 돈까스,서양식,3.6,-0.09,6.67,65,0,서울특별시 종로구 율곡로3길 83,삼청동,37.579329,126.982071,96.7
MA010120220800025520,비원손칼국수,한식,4.6,-0.31,3.23,37,0,서울특별시 종로구 창덕궁1길 9-1,가회동,37.579184,126.988779,90.3
MA010120220800038802,하프커피 안국,카페,4.2,-0.09,12.5,2,121,서울특별시 종로구 계동길 82,가회동,37.580988,126.986841,96.9
MA010120220800028746,파툼,카페,2.2,-0.65,0.0,10,28,서울특별시 종로구 삼청로 86-5,삼청동,37.583194,126.982159,81.8
MA010120220803335297,마산해물아구찜,한식,3.8,-0.23,13.51,34,1125,서울특별시 종로구 북촌로5길 6,가회동,37.57945,126.984611,97.3
MA010120220805042424,산체스 막걸리,주점,3.4,0.75,0.0,44,1130,서울특별시 종로구 윤보선길 26,삼청동,37.577172,126.984056,85.7
1103,프릳츠 원서점,카페,4.1,-0.45,16.81,30,4340,서울특별시 종로구 율곡로 83,가회동,37.577762,126.988417,95.0
1104,오설록 티하우스 북촌점,카페,4.0,-0.08,10.44,6,244,서울특별시 종로구 북촌로 45,가회동,37.580998,126.984601,97.8
1105,델픽,카페,4.0,-0.16,2.78,2,522,서울특별시 종로구 계동길 84-3,가회동,37.581285,126.98697,97.2
1106,단상,한식,4.2,0.17,0.0,22,2044,서울특별시 종로구 북촌로2길 11,가회동,37.577971,126.986423,71.4
1109,어니언 안국,카페,3.8,-0.35,16.22,56,1298,서울특별시 종로구 계동길 5,가회동,37.57752,126.98649,93.1
1111,부빙,카페,4.0,-0.08,9.09,4,192,서울특별시 종로구 북촌로7길 3-4,가회동,37.580093,126.984622,100.0
1112,후스테이블,서양식,4.2,-0.18,21.43,96,1147,서울특별시 종로구 창덕궁1가길 8,가회동,37.579645,126.988135,92.9
1114,플롭 안국,패스트푸드,4.1,0.16,3.85,27,389,서울특별시 종로구 북촌로2길 5,가회동,37.577948,126.986075,96.2
1116,합 원서점,카페,3.8,0.0,0.0,13,518,서울특별시 종로구 율곡로 83,가회동,37.577762,126.988417,0.0
1130,브릭샌드 삼청점,카페,4.8,-0.56,0.0,1,0,서울특별시 종로구 삼청로 100-1,삼청동,37.584299,126.982195,94.1
1131,피크닉,카페,3.5,-0.37,9.09,2,0,서울특별시 종로구 계동길 119-1,가회동,37.582568,126.98666,95.5
1132,Floor For Fiction,주점,4.4,0.0,0.0,5,0,서울특별시 종로구 북촌로5가길 3,삼청동,37.579732,126.982186,100.0
MA010120220813341060,만가타,서양식,4.7,-0.4,7.89,0,4170,서울특별시 종로구 삼청로2길 40-5,삼청동,37.580191,126.980988,100.0
MA010120220803570465,일월카츠,일식,4.7,-0.21,3.23,0,898,서울특별시 종로구 계동길 17,가회동,37.5781,126.986589,98.4
MA010120220806641494,오레노라멘,일식,4.6,1.0,0.0,0,2733,서울특별시 종로구 율곡로 49-4,삼청동,37.576517,126.984576,100.0
MA010120220808087786,키즈나,일식,4.5,-0.17,20.0,0,1071,서울특별시 종로구 율곡로1길 78,삼청동,37.578811,126.981626,100.0
MA010120220804340076,데시데,카페,4.5,0.09,18.97,0,93,서울특별시 종로구 삼청로 22-31,삼청동,37.577842,126.980509,100.0
MA010120220803292230,정담은보쌈 북촌점,한식,4.4,-0.36,8.89,0,544,서울특별시 종로구 계동길 33-9,가회동,37.578893,126.986091,97.8
MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,서양식,4.3,-0.53,4.76,0,182,서울특별시 종로구 삼청로 89,삼청동,37.583357,126.981689,95.2
MA010120220800002065,삼청동수제비,한식,4.2,-0.5,0.0,0,3329,서울특별시 종로구 삼청로 101-1,삼청동,37.58461,126.981924,100.0
MA010120220808671162,솔트24,카페,4.2,-0.75,0.0,0,427,서울특별시 종로구 율곡로3길 75,삼청동,37.578995,126.982076,100.0
MA010120220810071022,기와탭룸,주점,4.1,-0.05,13.46,0,3537,서울특별시 종로구 율곡로1길 74-7,삼청동,37.578704,126.981706,100.0
MA010120220800000033,서울서둘째로잘하는집,카페,4.1,0.0,0.0,0,3508,서울특별시 종로구 삼청로 122-1,삼청동,37.58625,126.981834,0.0
MA010120220805858556,무에,카페,4.1,0.75,9.52,0,83,서울특별시 종로구 북촌로8길 28,가회동,37.580912,126.986676,95.2
MA010120220804027016,안국 153,카페,4.0,0.0,0.0,0,2817,서울특별시 종로구 율곡로 51,삼청동,37.576509,126.984916,100.0
MA010120220805274566,법원,주점,4.0,5.0,0.0,0,319,서울특별시 종로구 창덕궁1길 33,가회동,37.579269,126.987363,100.0
MA010120220812392823,마칸틴,카페,4.0,0.0,10.0,0,556,서울특별시 종로구 팔판길 31,삼청동,37.583222,126.981114,100.0
MA010120220804973191,이화돈까스,한식,4.0,0.59,11.63,0,185,서울특별시 종로구 율곡로 49-4,삼청동,37.576517,126.984576,93.0
MA010120220800895296,이태리재,서양식,3.9,-0.5,0.0,0,3435,서울특별시 종로구 율곡로1길 74-9,삼청동,37.578829,126.981743,100.0
MA010120220809977525,묘미,한식,3.9,-0.31,0.0,0,1170,서울특별시 종로구 율곡로 83,가회동,37.577762,126.988417,100.0
MA010120220804515854,삼청동호떡,카페,3.9,0.0,0.0,0,2059,서울특별시 종로구 율곡로3길 82-6,삼청동,37.579205,126.982497,0.0
17090044,블루보틀 삼청 한옥,카페,3.9,0.0,0.0,0,325,서울특별시 종로구 삼청로2길 40-3,삼청동,37.580091,126.980962,0.0
MA010120220811929675,갤러리더스퀘어,카페,3.9,-0.43,0.0,0,515,서울특별시 종로구 계동길 128,가회동,37.582959,126.987006,100.0
MA010120220806666078,회화나무,카페,3.9,-0.28,8.7,0,142,서울특별시 종로구 창덕궁길 35,가회동,37.579093,126.989119,97.8
MA010120220813547232,길운구락부 & Bar,중식,3.7,-0.36,27.78,0,305,서울특별시 종로구 삼청로 119,삼청동,37.586132,126.981533,100.0
MA010120220801049024,삼청빙수,카페,3.7,-0.09,3.23,0,1223,서울특별시 종로구 삼청로 84-1,삼청동,37.583012,126.981995,83.9
MA010120220800034405,계동피자,패스트푸드,3.7,-0.47,0.0,0,617,서울특별시 종로구 계동길 63,가회동,37.580173,126.98666,100.0
MA010120220800016575,스미스가좋아하는한옥,서양식,3.6,-0.35,4.0,0,434,서울특별시 종로구 삼청로 22-7,삼청동,37.577938,126.980152,98.0
MA010120220800223084,자작나무이야기,카페,3.5,-0.25,10.0,0,891,서울특별시 종로구 율곡로1길 74-15,삼청동,37.57867,126.981837,92.5
MA010120220800013463,수와래,서양식,3.4,0.0,0.0,0,388,서울특별시 종로구 삼청로 82,삼청동,37.582679,126.982007,0.0
MA010120220811199992,청수정,한식,3.4,-0.45,7.02,0,621,서울특별시 종로구 삼청로 91,삼청동,37.583579,126.981708,96.5
12002389,소온테이블,서양식,3.4,0.0,0.0,0,145,서울특별시 종로구 윤보선길 24,삼청동,37.577099,126.984075,0.0
MA010120220800076059,CFlamingo,카페,3.3,-0.26,35.29,0,398,서울특별시 종로구 북촌로5길 64,삼청동,37.579949,126.981475,100.0
MA010120220800016329,눈나무집,한식,3.2,-0.17,3.45,0,511,서울특별시 종로구 삼청로 136-1,삼청동,37.587467,126.981879,100.0
MA010120220800139602,더베이커스테이블,카페,3.1,0.0,5.56,0,672,서울특별시 종로구 삼청로 131,삼청동,37.587088,126.981491,88.9
16001127,두레유,한식,0.0,0.0,0.0,0,922,서울특별시 종로구 북촌로 65,가회동,37.582746,126.984912,0.0
MA010120220812491842,스기모토,일식,0.0,0.0,0.0,0,49,서울특별시 종로구 북촌로5길 54,삼청동,37.579747,126.982052,0.0
MA010120220800019161,다락정,한식,0.0,-0.64,11.76,0,355,서울특별시 종로구 삼청로 131-1,삼청동,37.587247,126.981494,100.0
MA010120220806899504,온마을,한식,0.0,-0.74,22.22,0,392,서울특별시 종로구 삼청로 127,삼청동,37.586676,126.981536,100.0
MA010120220810961733,슬로우파크,카페,0.0,-0.33,26.83,0,496,서울특별시 종로구 삼청로 141,삼청동,37.587914,126.981499,100.0
MA010120220800032715,전다,한식,0.0,0.08,30.77,0,311,서울특별시 종로구 북촌로4길 24,가회동,37.579244,126.986468,76.9
MA010120220805030537,은설설렁탕,한식,0.0,0.24,4.76,0,14,서울특별시 종로구 북촌로5가길 44-6,삼청동,37.581587,126.98162,100.0
MA010120220811690627,카페죠꽁드,카페,0.0,-0.13,7.69,0,880,서울특별시 종로구 삼청로 90-3,삼청동,37.583463,126.982102,100.0
MA010120220800000955,뭉치바위,한식,0.0,-0.11,23.53,0,765,서울특별시 종로구 창덕궁1길 10,가회동,37.579472,126.988723,100.0
MA010120220806491125,소선재,한식,0.0,-0.64,7.69,0,113,서울특별시 종로구 삼청로 113-1,삼청동,37.58552,126.981779,84.6
MA010120220802933845,언코르크드,주점,0.0,2.55,1.28,0,19,서울특별시 종로구 율곡로 55,삼청동,37.576727,126.985404,100.0
MA010120220808339921,첫번째집,한식,0.0,-0.4,0.0,0,8,서울특별시 종로구 계동길 5,가회동,37.57752,126.98649,100.0
MA010120220802427546,정애쿠키,카페,0.0,3.0,12.5,0,121,서울특별시 종로구 계동길 76,가회동,37.580664,126.986832,100.0
MA010120220806024744,라 끌레,주점,0.0,0.0,0.0,0,370,서울특별시 종로구 팔판길 42,삼청동,37.583626,126.981444,90.0
MA010120220800075901,삼청동 만정,한식,0.0,-0.71,20.0,0,77,서울특별시 종로구 삼청로 124-2,삼청동,37.586323,126.982017,100.0
MA010120220800031301,만수의정원,한식,0.0,-0.3,12.5,0,166,서울특별시 종로구 북촌로5가길 35-2,삼청동,37.581044,126.981401,93.8
MA010120220813606455,제이네,동남아시아,0.0,-0.32,0.0,0,134,서울특별시 종로구 율곡로1길 74-13,삼청동,37.57874,126.981831,91.3
16289082,호중정원,카페,0.0,0.0,0.0,0,92,서울특별시 종로구 삼청로2길 3-8,삼청동,37.581229,126.9812,0.0
MA010120220800014426,맛다오리구이,한식,0.0,-0.6,0.0,0,75,서울특별시 종로구 북촌로 14-3,가회동,37.578178,126.985828,100.0
MA010120220812103966,카페포엠 북촌점,카페,0.0,0.11,3.33,0,97,서울특별시 종로구 북촌로5길 19-4,삼청동,37.579243,126.983862,83.3
MA010120220810888510,카페진선,카페,0.0,-0.54,0.0,0,24,서울특별시 종로구 삼청로 59,삼청동,37.5814,126.980476,93.8
MA010120220806685535,노우즈안국,카페,0.0,-0.43,3.23,0,34,서울특별시 종로구 계동길 17,가회동,37.5781,126.986589,100.0
MA010120220808167732,까페 골목숲,카페,0.0,-0.32,6.67,0,70,서울특별시 종로구 삼청로 86-3,삼청동,37.583192,126.98206,93.3
MA010120220809328625,벨라쿠키 안국,카페,0.0,-0.18,11.29,0,26,서울특별시 종로구 율곡로 61,가회동,37.576931,126.985924,96.8
MA010120220800658023,시래기담은,한식,0.0,-0.16,7.89,0,30,서울특별시 종로구 삼청로 65-2,삼청동,37.581596,126.980978,100.0
MA010120220806865465,테라로사,카페,0.0,0.0,0.0,0,22,서울특별시 종로구 삼청로 30,삼청동,37.578752,126.981331,100.0
MA010120220800037739,카페이드라,카페,0.0,-0.56,0.0,0,48,서울특별시 종로구 윤보선길 18,삼청동,37.576922,126.984165,100.0
MA010120220811199145,청국장밥,한식,0.0,-0.61,3.12,0,33,서울특별시 종로구 삼청로2길 29-1,삼청동,37.580426,126.981507,87.5
MA010120220810177316,퀸즈베이커리 삼청점,카페,0.0,1.02,3.1,0,3,서울특별시 종로구 북촌로5길 56,삼청동,37.579929,126.981942,99.2
17523465,산수인,주점,0.0,0.0,0.0,0,534,서울특별시 종로구 삼청로 86-2,삼청동,37.583088,126.98197,100.0
MA010120220800023964,황금정,한식,0.0,-0.39,21.74,0,12,서울특별시 종로구 북촌로 4,가회동,37.577387,126.986127,100.0
MA010120220810660550,베이킹 도우,패스트푸드,0.0,-0.18,22.22,0,8,서울특별시 종로구 창덕궁길 29,가회동,37.57879,126.989073,100.0
MA010120220804454619,반한닥,한식,0.0,0.0,0.0,0,72,서울특별시 종로구 율곡로3길 83,삼청동,37.579329,126.982071,100.0
MA010120220800028269,화동옥,한식,0.0,-0.5,0.0,0,19,서울특별시 종로구 창덕궁1길 40,가회동,37.579469,126.986999,100.0
MA010120220800027097,용수산 비원점,한식,0.0,0.17,28.57,0,102,서울특별시 종로구 창덕궁1길 2,가회동,37.579415,126.989148,100.0
12488839,미미당,한식,0.0,0.0,0.0,0,22,서울특별시 종로구 계동길 100,가회동,37.581795,126.986946,0.0
MA010120220800074209,황생가칼국수,한식,4.2,2.0,0.0,0,4999,서울특별시 종로구 북촌로5길 78,삼청동,37.580082,126.98067,100.0
MA010120220811689348,피케이엠가든카페,카페,3.9,0.33,0.0,0,745,서울특별시 종로구 삼청로7길 40,삼청동,37.58409,126.980082,100.0
MA010120220808298620,아티장 크로아상,카페,3.9,-0.33,17.31,0,627,서울특별시 종로구 계동길 51,가회동,37.579597,126.986623,92.3
MA010120220800072609,콩두 점점,한식,3.6,0.0,0.0,0,642,서울특별시 종로구 삼청로 129,삼청동,37.586935,126.981492,100.0
MA010120220800029309,풍년쌀농산,한식,3.5,1.0,0.0,0,1472,서울특별시 종로구 북촌로5가길 32,삼청동,37.58092,126.981709,100.0
MA010120220808731523,부띠끄경성,서양식,3.4,-0.34,2.38,0,2740,서울특별시 종로구 삼청로 75-5,삼청동,37.582292,126.981184,92.9
MA010120220800035353,RadioM 삼청점,카페,3.0,-0.18,9.84,0,41,서울특별시 종로구 삼청로2길 37-2,삼청동,37.579958,126.98128,100.0
MA010120220803780796,파티세리희원,카페,0.0,0.4,0.0,0,781,서울특별시 종로구 창덕궁1길 29,가회동,37.579276,126.98761,100.0
MA010120220800024874,카페공드리,카페,0.0,0.0,16.67,0,253,서울특별시 종로구 계동2길 4,가회동,37.579822,126.986842,100.0
MA010120220800023963,커피 팩토리,카페,0.0,-0.63,0.0,0,136,서울특별시 종로구 북촌로5가길 17,삼청동,37.580299,126.981871,88.9
MA010120220800072025,단풍나무집 삼청점,한식,0.0,0.0,33.33,0,269,서울특별시 종로구 삼청로 130,삼청동,37.586877,126.981995,100.0
MA010120220803457302,카페로쏘,카페,0.0,0.53,13.04,0,92,서울특별시 종로구 삼청로 81-12,삼청동,37.582854,126.981251,91.3
MA010120220808537838,달,카페,0.0,-0.21,0.0,0,161,서울특별시 종로구 삼청로 94-1,삼청동,37.583817,126.982041,96.2
MA010120220800029549,CAFE D_55,카페,0.0,-0.4,0.0,0,285,서울특별시 종로구 삼청로5길 5,삼청동,37.582432,126.981361,83.3
MA010120220804344601,Gaga bar,주점,0.0,0.0,0.0,0,40,서울특별시 종로구 계동길 5,가회동,37.57752,126.98649,100.0
MA010120220800003456,안동손칼국수 계동점,한식,0.0,-0.5,0.0,0,38,서울특별시 종로구 창덕궁1길 25,가회동,37.579273,126.987738,100.0
MA010120220800037960,진성옛날소머리국밥집,한식,0.0,-0.76,0.0,0,54,서울특별시 종로구 삼청로 113-2,삼청동,37.585597,126.981753,100.0
MA010120220810070957,카페 델 꼬또네 북촌계동점,카페,0.0,-0.4,0.0,0,9,서울특별시 종로구 창덕궁1길 32,가회동,37.579396,126.987463,83.3
MA010120220808520136,커피인뜨락,카페,0.0,-0.7,0.0,0,66,서울특별시 종로구 삼청로5길 11,삼청동,37.582555,126.981137,100.0
MA010120220805278803,카페상국,카페,0.0,0.0,0.0,0,36,서울특별시 종로구 창덕궁길 47-7,가회동,37.579579,126.988891,0.0
1101,개성철렵 & 루프탑 나위,한식,4.3,7.5,5.88,0,97,서울특별시 종로구 삼청로 124-2,삼청동,37.586323,126.982017,100.0
1102,고메오드,서양식,4.3,1.92,0.0,0,595,서울특별시 종로구 삼청로 140,삼청동,37.587765,126.98185,100.0
1107,큰기와집,한식,4.0,-0.17,0.0,296,1586,서울특별시 종로구 북촌로 22,가회동,37.57875,126.985479,90.0
1108,월영당 서울,카페,4.0,-0.28,0.0,0,85,서울특별시 종로구 북촌로5길 62,삼청동,37.579938,126.981635,100.0
1110,삼방매,일식,3.9,5.67,9.38,0,1412,서울특별시 종로구 율곡로5길 3-11,삼청동,37.576579,126.984655,96.9
1113,도토리가든,카페,3.8,0.08,4.75,0,35,서울특별시 종로구 계동길 19-8,가회동,37.578107,126.986282,95.6
1115,블루보틀 삼청 카페,카페,3.6,-0.34,8.19,0,282,서울특별시 종로구 북촌로5길 76,삼청동,37.580151,126.980863,90.1
